Civilite,Nom,Prenom,Mandat,Circonscription,Departement,Candidat,Date_de_publication,,,,,,,,
M.,CORDIVAL,Gilles,Maire,Mont-Saint-Père,Aisne,ARTHAUD Nathalie,01/02/2022,,,,,,,,
Mme,VALLIET,Odile,Maire,Crupilly,Aisne,ARTHAUD Nathalie,01/02/2022,,,,,,,,
M.,GUEYRAUD,Jean-Marie,Maire,Saint-Auban-d'Oze,Hautes-Alpes,ARTHAUD Nathalie,01/02/2022,,,,,,,,
Mme,NOUVEL,Marie-Claude,Maire,Seignalens,Aude,ARTHAUD Nathalie,01/02/2022,,,,,,,,
M.,GAINCHE,Jean-Paul,Maire,Langrolay-sur-Rance,Côtes-d'Armor,ARTHAUD Nathalie,01/02/2022,,,,,,,,
M.,DUBOS,Roland,Maire,Richeville,Eure,ARTHAUD Nathalie,01/02/2022,,,,,,,,
M.,PIQUENOT,Olivier,Maire,Saint-Léger-de-Rôtes,Eure,ARTHAUD Nathalie,01/02/2022,,,,,,,,
M.,LAMOTTE,Noël,Maire,Le Rozel,Manche,ARTHAUD Nathalie,01/02/2022,,,,,,,,
M.,RORET,Pascal,Maire délégué d'une commune associée ou d'une commune déléguée,Val-de-Meuse,Haute-Marne,ARTHAUD Nathalie,01/02/2022,,,,,,,,
M.,RUIZ,Albert,Maire délégué d'une commune associée ou d'une commune déléguée,Bourmont-entre-Meuse-et-Mouzon,Haute-Marne,ARTHAUD Nathalie,01/02/2022,,,,,,,,
M.,BASCOUR,Thierry,Maire,Buire-au-Bois,Pas-de-Calais,ARTHAUD Nathalie,01/02/2022,,,,,,,,
M.,WELELE,Patrice,Maire,Morval,Pas-de-Calais,ARTHAUD Nathalie,01/02/2022,,,,,,,,
M.,GAROT,Jany,Maire,Voisey,Haute-Marne,ASSELINEAU François,01/02/2022,,,,,,,,
M.,GY,Sylvain,Maire délégué d'une commune associée ou d'une commune déléguée,Le Val-d'Esnoms,Haute-Marne,ASSELINEAU François,01/02/2022,,,,,,,,
M.,LORRAIN,Christian,Maire délégué d'une commune associée ou d'une commune déléguée,Voisey,Haute-Marne,ASSELINEAU François,01/02/2022,,,,,,,,
Mme,ROUGET,Sylviane,Maire déléguée d'une commune associée ou d'une commune déléguée,Vals-des-Tilles,Haute-Marne,ASSELINEAU François,01/02/2022,,,,,,,,
Mme,VERRON,Annick,Maire,Cirfontaines-en-Ornois,Haute-Marne,ASSELINEAU François,01/02/2022,,,,,,,,
M.,MATHIEU,Joël Guy Jean Marie,Maire,Tanconville,Meurthe-et-Moselle,ASSELINEAU François,01/02/2022,,,,,,,,
M.,DUPUIS,Daniel,Maire,Luzy-Saint-Martin,Meuse,ASSELINEAU François,01/02/2022,,,,,,,,
M.,LANTERNE,Philippe,Maire délégué d'une commune associée ou d'une commune déléguée,Chonville-Malaumont,Meuse,ASSELINEAU François,01/02/2022,,,,,,,,
M.,BIER,Rémy,Maire,Schneckenbusch,Moselle,ASSELINEAU François,01/02/2022,,,,,,,,
M.,DELCOURT,Pierre,Maire,Le Titre,Somme,ASSELINEAU François,01/02/2022,,,,,,,,
M.,GREHANT,Bernard,Maire,Aubenton,Aisne,DUPONT-AIGNAN Nicolas,01/02/2022,,,,,,,,
M.,SARRET,Jean,Maire,Valserres,Hautes-Alpes,DUPONT-AIGNAN Nicolas,01/02/2022,,,,,,,,
M.,FAVREAU,Patrick Henri,Maire,Saint-Vallier,Charente,DUPONT-AIGNAN Nicolas,01/02/2022,,,,,,,,
M.,GROSS,Jean-Luc,Maire,Beaupouyet,Dordogne,DUPONT-AIGNAN Nicolas,01/02/2022,,,,,,,,
Mme,PETITJEAN,Frédérique,Maire,Branne,Doubs,DUPONT-AIGNAN Nicolas,01/02/2022,,,,,,,,
M.,RODRIGUEZ,David,Maire,Tendu,Indre,DUPONT-AIGNAN Nicolas,01/02/2022,,,,,,,,
M.,GUESNON,Daniel,Maire,Le Luot,Manche,DUPONT-AIGNAN Nicolas,01/02/2022,,,,,,,,
M.,NUFFER,Jean-Philippe,Maire,Lafauche,Haute-Marne,DUPONT-AIGNAN Nicolas,01/02/2022,,,,,,,,
M.,NICOLAS,Sylvain,Maire,Moncourt,Moselle,DUPONT-AIGNAN Nicolas,01/02/2022,,,,,,,,
M.,LAVERNHE,Philippe,Maire,Canny-sur-Thérain,Oise,DUPONT-AIGNAN Nicolas,01/02/2022,,,,,,,,
M.,THOMAS,Jean-Jacques,Maire,Hirson,Aisne,HIDALGO Anne,01/02/2022,,,,,,,,
M.,PERRIN,Pascal,Maire,Yzeure,Allier,HIDALGO Anne,01/02/2022,,,,,,,,
Mme,FINIELS,Martine,Maire,Vernoux-en-Vivarais,Ardèche,HIDALGO Anne,01/02/2022,,,,,,,,
M.,TENNEGUIN,Claude,Maire,Villadin,Aube,HIDALGO Anne,01/02/2022,,,,,,,,
M.,CALY,Guy Auguste,Maire,Villanière,Aude,HIDALGO Anne,01/02/2022,,,,,,,,
M.,RAYNAUD,Christian,Conseiller départemental,,Aude,HIDALGO Anne,01/02/2022,,,,,,,,
M.,SALLES,Bernard,Maire,Chanac-les-Mines,Corrèze,HIDALGO Anne,01/02/2022,,,,,,,,
M.,RETY,Jean-Marc,Conseiller régional,Bourgogne-Franche-Comté,Côte-d'Or,HIDALGO Anne,01/02/2022,,,,,,,,
M.,MALLERON,Didier,Conseiller départemental,,Finistère,HIDALGO Anne,01/02/2022,,,,,,,,
Mme,SARRABEZOLLES,Nathalie,Conseillère départementale,,Finistère,HIDALGO Anne,01/02/2022,,,,,,,,
M.,GONELLA,Dominique,Maire,Marsolan,Gers,HIDALGO Anne,01/02/2022,,,,,,,,
M.,PENSIVY,Bernard,Maire,Auterive,Gers,HIDALGO Anne,01/02/2022,,,,,,,,
M.,SERIN,Jacques,Maire,Betcave-Aguin,Gers,HIDALGO Anne,01/02/2022,,,,,,,,
M.,ALLOY,Hervé,Maire,Guîtres,Gironde,HIDALGO Anne,01/02/2022,,,,,,,,
